annotation_id,backbone,language,config,variant,seed,example_index,context,question,gold_answer,generated_answer,em,f1,f_faith_model_score,annotator_1_judgment,annotator_1_notes,annotator_2_judgment,annotator_2_notes,adjudicated_judgment
A0001,mt5-base,malay,C_composite_lora,dora,42,83,"Tepat pada pukul 8:46 pagi, bandar tersebut hening dengan tiba-tiba, menandakan masa sebenar jet pertama mengenai sasarannya. Dua pancaran lampu telah dipasang untuk menunjuk ke langit semalam. Pembinaan sedang berjalan untuk lima pencakar langit baharu di tapak tersebut, dengan pusat pengangkutan dan taman peringatan di bahagian tengah.","Menurut petikan, bilakah pencakar langit baharu sedang dibina di tapak?",Pembinaan sedang berjalan,Sem,0,0.0,0.0018,,,,,
A0002,mt5-base,malay,C_composite_lora,qlora,42,86,"Lelaki tersebut dikatakan telah memandu sebuah kenderaan beroda tiga yang bersenjata bahan letupan ke dalam khalayak ramai. Lelaki yang disyaki meletupkan bom telah ditahan, setelah mengalami kecederaan akibat letupan tersebut. Namanya masih tidak diketahui oleh pihak berkuasa, walaupun mereka tahu bahawa dia berasal daripada kumpulan etnik Uighur.","Menurut petikan, pernyataan manakah tentang suspek tidak benar?",Dia tidak mengalami kecederaan,Dia menggunakan kenderaan semasa serangan,0,0.2222,0.9595,,,,,
A0003,mt5-base,malay,C_composite_lora,dora,42,334,"Taman Nasional Tasik Plitvice dipenuhi hutal tebal, terutamannya dengan pohon bic, cemara, dan fir, dan mempunyai ciri-ciri campuran tumbuhan Alpine dan Mediterranean. Ia memiliki pelbagai jenis tumbuhan, disebabkan julat mikroiklim, perbezaan jenis tanah dan altitud yang berbeza. Kawasan ini juga merupakan habitat pelbagai spesies haiwan dan burung. Fauna yang jarang ditemui seperti beruang coklat Eropah, serigala, burung helang, burung hantu, lynx, kucing liar dan capercaillie boleh dijumpai di sana, bersama dengan banyak lagi spesies yang lebih biasa.","Berdasaran petikan, manakah antara pokok berikut jarang ditemui di Taman Nasional Tasik Plitvice?",Oak,Bi Bic,0,0.0,0.0005,,,,,
A0004,mt5-base,arabic,B_ce_lora,qlora,42,250,‏حدث تطور في الجهاز المناعي التكيفي في سلف الفقاريات الفكية. يوجد الكثير من الجزيئات التقليدية في الجهاز المناعي التكيفي (على سبيل المثال: الغلوبولين المناعي ومستقبلات الخلايا التائية) لدى الفقاريات الفكية فقط. ومع ذلك، تم اكتشاف جزيء متميز مشتق من الخلايا اللمفاوية في الفقاريات البدائية اللافكية، مثل مصاصات الحجر والأسماك المخاطية. تمتلك هذه الحيوانات مجموعة كبيرة من الجزيئات تسمى مستقبلات الخلايا اللمفاوية المتغيرة والتي - مثل المستقبلات المضادة في الفقاريات الفكية - يتم إنتاجها من عدد صغير (واحد أو اثنين) من المورثات فقط. ويعتقد أن هذه الجزيئات تربط مولدات المضادات المسببة للأمراض بطريقة مماثلة للأجسام المضادة، وبنفس درجة الدقة.,‏أي جزء من الجهاز المناعي تطور لدى الجد التطوري للفقاريات الفكية؟,الجهاز المناعي التكيفي,مستقبلات الخلايا اللمفاوية المتغيرة,0,0.0,0.0006,,,,,
A0005,mt5-base,malay,C_composite_lora,qlora,42,317,"Oleh sebab Montevideo berada di selatan Khatulistiwa, ia mengalami musim panas di sana sementara ianya musim sejuk di Hemisfera Utara dan juga sebaliknya. Montevideo adalah dalam subtropika; pada bulan-bulan musim panas, suhu melebihi +30°C ialah perkara biasa. Musim sejuk adakalanya mengelirukan: suhu jarang sekali melebihi takat beku, tetapi angin dan kelembapan menjadikannya terasa lebih sejuk berbanding bacaan termometer. Tidak ada musim “hujan” dan “kering” tertentu, jumlah hujan lebih kurang tetap sama sepanjang tahun.","Berdasarkan petikan, bilakah pengembara patut melawat Montevideo jika mereka mahu mengelak keadaan berangin?",Semasa bulan-bulan musim sejuk Hemifera Utara,Semasa musim kering Montevideo,0,0.4,0.0797,,,,,
A0006,mt5-base,malay,C_composite_lora,dora,42,298,"Izmir merupakan bandar ketiga terbesar di Turki dengan populasi hampir 3.7 juta, pelabuhan kedua terbesar setelah Istanbul, dan sebuah hab pengangkutan yang sangat bagus. Dahulu menjadi bandar purba Smyrna, sekarang ia moden, berkembang dan pusat komersial yang sibuk terletak berdekatan teluk yang besar dan dikelilingi gunung. Jalan yang besar, bangunan kaca dan pusat membeli-belah moden ditandai dengan bumbung tradisional berjubin merah, pasar abad ke-18, dan masjid dan gereja lama, walaupun bandar tersebut mempunyai suasana lebih seperti Eropah Mediterannean berbanding Turki tradisional.",Manakah antara berikut bukan sifat Izmir yang tepat?,Suasana yang menggambarkan Turki tradisional,,0,0.0,0.0,,,,,
A0007,mt5-base,malay,B_ce_lora,qlora,42,13,"Rekod pertemuan Nadal dan pemain Kanada ini ialah 7-2. Baru-baru ini beliau telah tewas kepada Raonic dalam kejohanan Brisbane Open. Nadal mendapat 88% mata bersih dalam perlawanan yang menang 76 mata dalam perkhidmatan pertama. Selepas perlawanan, King of Clay berkata, “Saya teruja kerana dapat kembali ke pusingan akhir untuk acara-acara yang paling penting. Saya berada di sini untuk cuba menang.”","Menurut petikan, apakah kedudukan perlawanan Nadal dan Raonic selepas servis pertama?",Nadal memenangi 76 mata,Nadal memenangi 76 mata bersih,0,0.8889,0.9746,,,,,
A0008,mt5-base,malay,B_ce_lora,dora,42,314,"Di lokasi terpencil tanpa liputan telefon bimbit, telefon satelit mungkin menjadi satu-satunya pilihan anda. Secara umumnya,telefon satelit bukanlah pengganti telefon bimbit, kerana anda perlu berada di luar rumah untuk membuat penghantaran garis yang jelas ke satelit untuk membuat panggilan telefon. Perkhidmatan ini kerap digunakan oleh perkapalan, termasuk kapal percutian, serta ekspedisi yang mempunyai data jarak jauh dan keperluan suara. Pembekal perkhidmatan telefon tempatan anda akan dapat memberikan maklumat lebih lanjut mengenai sambungan kepada perkhidmatan ini.",Bilakah telefon satelit menjadi pilihan berbanding telefon bimbit?,Semasa dalam perjalanan di atas kapal,Semasa bercuti di atas kapal,0,0.7273,0.4263,,,,,
A0009,mt5-base,malay,B_ce_lora,dora,42,47,"Jurugambar itu dibawa ke Pusat Perubatan Ronald Reagan UCLA, di mana beliau meninggal dunia. Dia dilaporkan berusia sekitar 20 tahun. Dalam sebuah kenyataan, Bieber menyatakan “walaupun saya tidak hadir atau terlibat secara langsung dengan kemalangan tragis ini, saya memikirkan dan mendoakan keluarga mangsa.” Laman web berita hiburan TMZ dimaklumkan bahawa jurugambar tersebut menghentikan kenderaannya di seberang Sepulveda Boulevard dan cuba mengambil gambar sekatan polis sebelum melintas jalan dan bersambung, menyebabkan pegawai polis California Highway Patrol yang melakukan penghentian trafik mengarahkannya kembali ke seberang jalan, sebanyak dua kali. Menurut polis, pemandu kenderaan berkenaan yang mel;anggar jurugambar tidak mungkin akan menghadapi tuduhan jenayah.",Apakah yang cuba dilakukan oleh jurugambar sebelum dia dilanggar oleh kenderaan?,Mengambil gambar sekatan polis,Meletak kereta di Sepulveda Boulevard,0,0.0,0.2041,,,,,
A0010,mt5-base,arabic,B_ce_lora,qlora,42,117,حل سوق غرينجر محل سوقٍ سابق تم بناؤه في الأصل عام 1808 يدعى سوق الجزّار. تم افتتاح سوق غرينجر بعينه في عام 1835 وكان أول سوق داخلي لنيوكاسل. قيل عند افتتاحه عام 1835 أنه أحد أكبر وأجمل الأسواق في أوروبا. تم الاحتفال بالافتتاح بحفل عشاءٍ كبير حضره 2000  ضيف، ويضم معرض لاينغ للفنون لوحةً لهذا الحدث. لا يزال معظم السوق في حالته الأصلية ما عدا السقف الخشبي الذي دمره حريقٌ في عام 1901 واستعيض عنه بأقواسٍ ذات قضبان متداخلة فولاذية. تم تصنيف معمار سوق غرينجر في المرتبة الأولى من قبل التراث الإنجليزي في عام 1954، مثله مثل معظم الأبنية في بلدة غرينجر التي تم تصنيفها إما في المرتبة الأولى أو الثانية.,ما السوق السابق الذي حل سوق غرينجر محله؟,سوق الجزّار,سوق الجزّار,1,1.0,0.0189,,,,,
